timestamp,data_hora,abertura,alta,baixa,fechamento,volume,retorno,amplitude,pos_fechamento,media_volume_20,volume_relativo,media_curta,media_longa,diff_medias,alvo
1766878500000,2025-12-27 23:35:00,87664.48,87664.48,87664.46,87664.46,4.11889,-2.28142572562144e-07,2.28142572562144e-07,0.0,25.040112999999998,0.16449166982593091,87634.451,87651.24966666667,-0.00019165347591225222,1
1766878800000,2025-12-27 23:40:00,87664.46,87687.88,87664.46,87687.87,6.25009,0.00026704094224716535,0.00026715501355963696,0.9995730145128408,24.9826085,0.2501776385760518,87639.678,87653.34466666666,-0.0001559172296120516,1
1766879100000,2025-12-27 23:45:00,87687.87,87936.01,87687.87,87808.69,105.89086,0.001377841655864226,0.0028298098699398155,0.48690255500910207,29.358479499999998,3.6068237116980124,87663.948,87659.154,5.468909727338874e-05,1
1766879400000,2025-12-27 23:50:00,87808.7,87984.0,87808.7,87872.69,40.29409,0.0007287432794245358,0.0019963853240055132,0.36503137478589665,23.7222515,1.6985778099519768,87693.053,87667.09700000001,0.00029607459227252655,1
1766879700000,2025-12-27 23:55:00,87872.68,87887.0,87842.92,87877.01,22.62408,4.927583863382506e-05,0.0005016348653529374,0.7733666061687345,23.085232499999996,0.9800239178877667,87718.40699999999,87675.18433333332,0.0004929863221312385,0
1766880000000,2025-12-28 00:00:00,87877.0,87961.37,87877.0,87901.26,30.93811,0.00027606768551492153,0.0009600919466981729,0.28754296550868014,23.1691255,1.335316259562753,87747.447,87683.38000000002,0.0007306629831101503,0
1766880300000,2025-12-28 00:05:00,87901.26,87917.0,87808.69,87829.46,27.50086,-0.00081682560636774,0.001232178014285548,0.19176438002017676,23.980891,1.146782244246054,87762.952,87688.75433333335,0.000846148029251394,0
1766880600000,2025-12-28 00:10:00,87829.45,87858.95,87815.11,87815.12,9.0398,-0.00016315711871134052,0.0004991492033708113,0.0002281021896610241,22.957551,0.39376151227977235,87776.964,87694.68766666666,0.0009382134257217512,0
1766880900000,2025-12-28 00:15:00,87815.12,87822.14,87778.03,87802.3,9.78983,-0.00014598852680486497,0.0005023052977664961,0.5502153706630862,22.7712125,0.4299213315935636,87792.334,87699.51466666667,0.0010583790992016995,0
1766881200000,2025-12-28 00:20:00,87802.3,87821.8,87778.05,87783.37,6.69014,-0.00021559799686349408,0.0004982785188998466,0.1215999999995491,21.8430105,0.3062828725005649,87804.223,87703.35266666667,0.0011501308703294622,1
1766881500000,2025-12-28 00:25:00,87783.38,87803.02,87705.97,87736.45,32.28224,-0.0005346114492288582,0.0011055623513243954,0.314064914991897,21.7981025,1.4809656023958968,87811.42199999999,87705.62700000001,0.0012062509968714288,1
1766881800000,2025-12-28 00:30:00,87736.44,87804.47,87718.03,87804.46,13.20699,0.0007752764985678023,0.0009852234715701062,0.9998843128170436,21.784516,0.6062558378620851,87823.081,87710.16833333332,0.001287338387466918,1
1766882100000,2025-12-28 00:35:00,87804.47,87887.15,87804.46,87887.15,20.95955,0.0009416377093329418,0.0009417515987510405,0.9999999999987906,21.9825735,0.953462068488023,87830.927,87717.533,0.001292717614390731,1
1766882400000,2025-12-28 00:40:00,87887.15,87900.0,87830.62,87885.99,18.60799,-1.319874407110642e-05,0.0007894214341915134,0.7980686076668546,21.894702,0.8498855111158856,87832.25700000001,87718.25566666666,0.0012996306466302565,0
1766882700000,2025-12-28 00:45:00,87885.99,87943.65,87885.99,87902.61,14.79298,0.00018910863949982634,0.0006560772655572172,0.28824141519198243,22.040462499999997,0.6711737559953654,87834.81700000001,87722.66100000001,0.0012785293870645655,0
1766883000000,2025-12-28 00:50:00,87902.62,87919.65,87854.0,87866.97,12.98952,-0.00040556242805952976,0.000746849183789905,0.19756283320613188,21.667044,0.5995058670670536,87831.388,87727.07800000001,0.0011890285460094505,1
